Country,Industry,Year,mu
1,1,2000,0.00744076348392226
1,2,2000,0.0299847833535028
1,3,2000,0.0499816102269374
1,4,2000,0.103733110886966
1,5,2000,0.296474086842964
1,6,2000,0.512385645205707
2,1,2000,0.122972341899699
2,2,2000,0.0234828111661378
2,3,2000,0.113367619148269
2,4,2000,0.147265221583718
2,5,2000,0.346839278999567
2,6,2000,0.246072727202609
3,1,2000,0.0193292746838565
3,2,2000,0.0405422007117296
3,3,2000,0.0772261229525223
3,4,2000,0.112409362599003
3,5,2000,0.33749114675203
3,6,2000,0.413001892300858
4,1,2000,0.0117615642394554
4,2,2000,0.0268749168767272
4,3,2000,0.0685800408251397
4,4,2000,0.102729107090836
4,5,2000,0.383816700126419
4,6,2000,0.406237670841422
5,1,2000,0.0242576939542478
5,2,2000,0.0388481881726131
5,3,2000,0.0979575609002196
5,4,2000,0.108566211430359
5,5,2000,0.325373740684181
5,6,2000,0.404996604858379
6,1,2000,0.0871878316340796
6,2,2000,0.03253023720971
6,3,2000,0.106238863588841
6,4,2000,0.0997210501811951
6,5,2000,0.385592845969115
6,6,2000,0.288729171417059
