Country,User,Supplier,Year,nu
1,1,1,2000,0.29836752750467
1,1,2,2000,0.0705289957100873
1,1,3,2000,0.0703832251385901
1,1,4,2000,0.115002271424825
1,1,5,2000,0.209644371450143
1,1,6,2000,0.236073608771685
1,2,1,2000,0.226339329513782
1,2,2,2000,0.328130476580296
1,2,3,2000,0.0417043261688895
1,2,4,2000,0.0887621234511301
1,2,5,2000,0.179774556590297
1,2,6,2000,0.135289187695606
1,3,1,2000,0.194549038050504
1,3,2,2000,0.0939419063109547
1,3,3,2000,0.270794231881884
1,3,4,2000,0.12122741047521
1,3,5,2000,0.172174834429546
1,3,6,2000,0.147312578851901
1,4,1,2000,0.00964811945984409
1,4,2,2000,0.172203825936513
1,4,3,2000,0.0592959366830361
1,4,4,2000,0.453323175021482
1,4,5,2000,0.143165662559415
1,4,6,2000,0.162363280339709
1,5,1,2000,0.0386076866120022
1,5,2,2000,0.127275888343258
1,5,3,2000,0.0817598719173424
1,5,4,2000,0.0806814416825605
1,5,5,2000,0.263848380076066
1,5,6,2000,0.407826731368771
1,6,1,2000,0.00496508843297067
1,6,2,2000,0.0646289849827572
1,6,3,2000,0.0238210589302587
1,6,4,2000,0.0631512232235816
1,6,5,2000,0.182387455119997
1,6,6,2000,0.661046189310435
2,1,1,2000,0.340982501173821
2,1,2,2000,0.06842903832319
2,1,3,2000,0.140823757864624
2,1,4,2000,0.173769640751671
2,1,5,2000,0.224573416752699
2,1,6,2000,0.0514216451339953
2,2,1,2000,0.16242836856287
2,2,2,2000,0.453662318387273
2,2,3,2000,0.0615064252334947
2,2,4,2000,0.0891237384777387
2,2,5,2000,0.203588097209201
2,2,6,2000,0.0296910521294222
2,3,1,2000,0.228185158498617
2,3,2,2000,0.0621993322430124
2,3,3,2000,0.367269695138761
2,3,4,2000,0.135780207480285
2,3,5,2000,0.169414105876384
2,3,6,2000,0.0371515007629403
2,4,1,2000,0.037631083687806
2,4,2,2000,0.1941610743078
2,4,3,2000,0.0957478018514453
2,4,4,2000,0.461191350593087
2,4,5,2000,0.170875035321998
2,4,6,2000,0.0403936542378643
2,5,1,2000,0.127133141181629
2,5,2,2000,0.17078832416594
2,5,3,2000,0.156041579253416
2,5,4,2000,0.163698337665068
2,5,5,2000,0.27436401300987
2,5,6,2000,0.107974604724077
2,6,1,2000,0.0152321252451911
2,6,2,2000,0.120604687720628
2,6,3,2000,0.0704565965187952
2,6,4,2000,0.247679019514314
2,6,5,2000,0.332871587892677
2,6,6,2000,0.213155983108394
3,1,1,2000,0.249189381106373
3,1,2,2000,0.0737245353449061
3,1,3,2000,0.151127371416842
3,1,4,2000,0.133455228323852
3,1,5,2000,0.248418478861102
3,1,6,2000,0.144085004946925
3,2,1,2000,0.1348109693242
3,2,2,2000,0.37500433376123
3,2,3,2000,0.0412105126669701
3,2,4,2000,0.0944726878249965
3,2,5,2000,0.237441061395573
3,2,6,2000,0.117060435027031
3,3,1,2000,0.183893171976774
3,3,2,2000,0.0580299167941237
3,3,3,2000,0.259850141865193
3,3,4,2000,0.0904324565921277
3,3,5,2000,0.267999801246123
3,3,6,2000,0.13979451152566
3,4,1,2000,0.00642798830450908
3,4,2,2000,0.153767867421823
3,4,3,2000,0.057131743288862
3,4,4,2000,0.420758766292101
3,4,5,2000,0.196014114954223
3,4,6,2000,0.165899519738482
3,5,1,2000,0.0268211351817839
3,5,2,2000,0.0894452850549732
3,5,3,2000,0.0875259580451237
3,5,4,2000,0.0777805311685752
3,5,5,2000,0.427709186389115
3,5,6,2000,0.290717904160429
3,6,1,2000,0.00353832158549862
3,6,2,2000,0.055408683516856
3,6,3,2000,0.0212824636596407
3,6,4,2000,0.0638229548575831
3,6,5,2000,0.222914918715824
3,6,6,2000,0.633032657664597
4,1,1,2000,0.252376920795833
4,1,2,2000,0.106022518563454
4,1,3,2000,0.151668802726674
4,1,4,2000,0.108236335693477
4,1,5,2000,0.258542469815013
4,1,6,2000,0.123152952405549
4,2,1,2000,0.161513660264776
4,2,2,2000,0.453461103075549
4,2,3,2000,0.0360591112984495
4,2,4,2000,0.0591784666458383
4,2,5,2000,0.213563300006566
4,2,6,2000,0.0762243587088206
4,3,1,2000,0.207286189275914
4,3,2,2000,0.0751920149165387
4,3,3,2000,0.28490726064058
4,3,4,2000,0.117349187363947
4,3,5,2000,0.23321202007032
4,3,6,2000,0.0820533277327005
4,4,1,2000,0.00277221204343731
4,4,2,2000,0.136437422854639
4,4,3,2000,0.0569713854664493
4,4,4,2000,0.543811623877965
4,4,5,2000,0.164499202816172
4,4,6,2000,0.0955081529413367
4,5,1,2000,0.0326206044648806
4,5,2,2000,0.162833667925816
4,5,3,2000,0.103160951061525
4,5,4,2000,0.0712955617930169
4,5,5,2000,0.335730056760609
4,5,6,2000,0.294359157994153
4,6,1,2000,0.00324511696752172
4,6,2,2000,0.0803821210986445
4,6,3,2000,0.0228520230368323
4,6,4,2000,0.099121837376604
4,6,5,2000,0.282806728129016
4,6,6,2000,0.511592173391381
5,1,1,2000,0.175506899886424
5,1,2,2000,0.0963283830919382
5,1,3,2000,0.11247845367355
5,1,4,2000,0.174992417862792
5,1,5,2000,0.240866209618056
5,1,6,2000,0.199827635867241
5,2,1,2000,0.244701512806729
5,2,2,2000,0.33003296892804
5,2,3,2000,0.0409810189500986
5,2,4,2000,0.0912186154765403
5,2,5,2000,0.205192103970013
5,2,6,2000,0.0878737798685784
5,3,1,2000,0.274007750273581
5,3,2,2000,0.0622030181886707
5,3,3,2000,0.26609968311516
5,3,4,2000,0.0869203564665078
5,3,5,2000,0.208928537586655
5,3,6,2000,0.101840654369425
5,4,1,2000,0.0338077960709329
5,4,2,2000,0.14081941591736
5,4,3,2000,0.0636188627125609
5,4,4,2000,0.498753327613894
5,4,5,2000,0.161030121305444
5,4,6,2000,0.101970476379807
5,5,1,2000,0.0242298818414796
5,5,2,2000,0.147721616393915
5,5,3,2000,0.100819052182967
5,5,4,2000,0.105400363981905
5,5,5,2000,0.321965328739115
5,5,6,2000,0.299863756860619
5,6,1,2000,0.00572642521983275
5,6,2,2000,0.0681593520049218
5,6,3,2000,0.021163129890394
5,6,4,2000,0.0699860182081868
5,6,5,2000,0.223581304183804
5,6,6,2000,0.611383770492861
6,1,1,2000,0.282825896580488
6,1,2,2000,0.05675748801769
6,1,3,2000,0.0786848426985013
6,1,4,2000,0.123016760597214
6,1,5,2000,0.376722814866148
6,1,6,2000,0.0819921972399586
6,2,1,2000,0.23998128839781
6,2,2,2000,0.314322492312388
6,2,3,2000,0.0362291330096998
6,2,4,2000,0.0645224493857329
6,2,5,2000,0.296768054314701
6,2,6,2000,0.0481765825796682
6,3,1,2000,0.244147880449827
6,3,2,2000,0.0447277454015225
6,3,3,2000,0.271081242760224
6,3,4,2000,0.0838037600961316
6,3,5,2000,0.297358268056303
6,3,6,2000,0.0588811032359916
6,4,1,2000,0.0435832268942592
6,4,2,2000,0.145510845466176
6,4,3,2000,0.0718909195770274
6,4,4,2000,0.400235826676646
6,4,5,2000,0.26694748890737
6,4,6,2000,0.0718316924785218
6,5,1,2000,0.0905731074614056
6,5,2,2000,0.118976107099393
6,5,3,2000,0.0985211732239186
6,5,4,2000,0.109882623506379
6,5,5,2000,0.431655991377252
6,5,6,2000,0.150390997331652
6,6,1,2000,0.0114787787194421
6,6,2,2000,0.0652476998212893
6,6,3,2000,0.0367179868208002
6,6,4,2000,0.118980189399821
6,6,5,2000,0.357230591990871
6,6,6,2000,0.410344753247777
