Exporter,Importer,Sector,Year,Import Share
3,5,1,2000,0.0357815956203619
3,5,2,2000,0.0331938618299776
3,5,3,2000,0.0279860592602149
3,5,4,2000,0.0724647058708666
3,5,5,2000,0.00526510916282269
3,5,6,2000,0.00786152263444326
3,6,1,2000,0.0264243911589
3,6,2,2000,0.0686873512730863
3,6,3,2000,0.0609304206257244
3,6,4,2000,0.173240025732501
3,6,5,2000,0.0553553667142758
3,6,6,2000,0.0656867976878221
4,1,1,2000,0.00221736227424058
4,1,2,2000,0.0163524173092031
4,1,3,2000,0.0132955156308909
4,1,4,2000,0.0731792151042279
4,1,5,2000,0.00205120285630399
4,1,6,2000,0.000583950564553673
4,2,1,2000,0.00434633964916413
4,2,2,2000,0.0369666370521835
4,2,3,2000,0.0222306901825848
4,2,4,2000,0.0688685913836663
4,2,5,2000,0.00386418730809343
4,2,6,2000,0.00270693550268241
4,3,1,2000,0.00417649486528308
4,3,2,2000,0.00800917456507931
4,3,3,2000,0.00705612229983197
4,3,4,2000,0.0472327910703578
4,3,5,2000,0.00252017064303133
4,3,6,2000,0.000898486820334749
4,4,1,2000,0.699835131515919
4,4,2,2000,0.91473073704437
4,4,3,2000,0.89684041795224
4,4,4,2000,0.860621292278338
4,4,5,2000,0.977152351178149
4,4,6,2000,0.987100520116284
4,5,1,2000,0.00167995682285059
4,5,2,2000,0.0207048366513726
4,5,3,2000,0.0150620491199421
4,5,4,2000,0.0519510099924543
4,5,5,2000,0.00198541391483149
4,5,6,2000,0.000809985478152916
4,6,1,2000,0.0132211214781928
4,6,2,2000,0.0471840597033984
4,6,3,2000,0.0334385180830505
4,6,4,2000,0.130371228788894
4,6,5,2000,0.0318409913489871
4,6,6,2000,0.00874054959873055
5,1,1,2000,0.0777438299098104
5,1,2,2000,0.0567776342019901
5,1,3,2000,0.0430476416058679
5,1,4,2000,0.0772311621097642
5,1,5,2000,0.0058601909699131
5,1,6,2000,0.00100919540885717
5,2,1,2000,0.00223819641876047
5,2,2,2000,0.00148029010987368
5,2,3,2000,0.000687739867696357
5,2,4,2000,0.00213604032096453
5,2,5,2000,0.000482201764834384
5,2,6,2000,0.00209621689709732
5,3,1,2000,0.0137856329587087
5,3,2,2000,0.00715735715768185
5,3,3,2000,0.00457330132210375
5,3,4,2000,0.00680801616885167
5,3,5,2000,0.00141383123563724
5,3,6,2000,0.000883558033274226
5,4,1,2000,0.0144524051546193
5,4,2,2000,0.00791436745642909
5,4,3,2000,0.00385946770868913
5,4,4,2000,0.00209905848900272
5,4,5,2000,0.000824315143898291
5,4,6,2000,0.000202215379296923
5,5,1,2000,0.858086527423006
5,5,2,2000,0.751770623495841
5,5,3,2000,0.806466077298395
5,5,4,2000,0.49091642741857
5,5,5,2000,0.977744509906647
5,5,6,2000,0.973374333956262
5,6,1,2000,0.0136550560173289
5,6,2,2000,0.00979157778573118
5,6,3,2000,0.00901289754730599
5,6,4,2000,0.0144458629625487
5,6,5,2000,0.00510879457582502
5,6,6,2000,0.00411662435698391
6,1,1,2000,0.123374450894649
6,1,2,2000,0.0447725566665416
6,1,3,2000,0.0617054700809006
6,1,4,2000,0.0403173423457276
6,1,5,2000,0.00393767138890909
6,1,6,2000,0.00815079337616992
6,2,1,2000,0.0379736940709379
6,2,2,2000,0.0337920140926367
6,2,3,2000,0.0298136314937834
6,2,4,2000,0.0793733563117963
6,2,5,2000,0.00403816966379743
6,2,6,2000,0.00762662387770701
6,3,1,2000,0.156731051716591
6,3,2,2000,0.0425025552806229
6,3,3,2000,0.0563911738331862
6,3,4,2000,0.0418328680587794
6,3,5,2000,0.0179696600210238
6,3,6,2000,0.00918297388133272
6,4,1,2000,0.252422383880725
6,4,2,2000,0.0440174732457509
6,4,3,2000,0.0373420057534625
6,4,4,2000,0.0524848588745477
6,4,5,2000,0.0126728761348082
6,4,6,2000,0.00644527682391595
6,5,1,2000,0.0552718689245096
6,5,2,2000,0.0405321702625713
6,5,3,2000,0.0335222355936388
6,5,4,2000,0.0451128258818867
6,5,5,2000,0.00666428470148513
6,5,6,2000,0.0100248298588482
6,6,1,2000,0.935281463827562
6,6,2,2000,0.845010282773647
6,6,3,2000,0.856569069421029
6,6,4,2000,0.568313674939165
6,6,5,2000,0.861817221369725
6,6,6,2000,0.891465898570298
