79,0.44760372,-2,2,1,1,eta(k=6-i=4)
80,0,-2,2,1,0,eta(k=1-i=5)
81,-0.56698797,-2,2,1,1,eta(k=2-i=5)
82,-0.35162287,-2,2,1,1,eta(k=3-i=5)
83,-1.62512151,-2,2,1,1,eta(k=4-i=5)
84,-0.26811025,-2,2,1,1,eta(k=5-i=5)
85,-0.69349464,-2,2,1,1,eta(k=6-i=5)
86,0,-2,2,1,0,eta(k=1-i=6)
87,0.0652028,-2,2,1,1,eta(k=2-i=6)
88,0.07713006,-2,2,1,1,eta(k=3-i=6)
89,-0.16496035,-2,2,1,1,eta(k=4-i=6)
90,-0.7135158,-2,2,1,1,eta(k=5-i=6)
91,-1.05990687,-2,2,1,1,eta(k=6-i=6)
92,0,0,20,3,0,C_US(k=1-l=1)
93,3.32487257,0,20,3,1,C_US(k=1-l=2)
94,2.14562922,0,20,3,1,C_US(k=1-l=3)
95,2.25600701,0,20,3,1,C_US(k=1-l=4)
96,1.55658502,0,20,3,1,C_US(k=1-l=5)
97,2.80884469,0,20,3,1,C_US(k=1-l=6)
98,2.17495776,0,20,3,1,C_US(k=2-l=1)
99,0,0,20,3,0,C_US(k=2-l=2)
100,0.00933418,0,20,3,1,C_US(k=2-l=3)
101,0.07658954,0,20,3,1,C_US(k=2-l=4)
102,1.52691922,0,20,3,1,C_US(k=2-l=5)
103,2.36695347,0,20,3,1,C_US(k=2-l=6)
104,2.8789371,0,20,3,1,C_US(k=3-l=1)
105,0.57651652,0,20,3,1,C_US(k=3-l=2)
106,0,0,20,3,0,C_US(k=3-l=3)
107,0.03523008,0,20,3,1,C_US(k=3-l=4)
108,1.37883662,0,20,3,1,C_US(k=3-l=5)
109,2.28484412,0,20,3,1,C_US(k=3-l=6)
110,2.29810075,0,20,3,1,C_US(k=4-l=1)
111,1.01274034,0,20,3,1,C_US(k=4-l=2)
112,0.01016633,0,20,3,1,C_US(k=4-l=3)
113,0,0,20,3,0,C_US(k=4-l=4)
114,1.22373776,0,20,3,1,C_US(k=4-l=5)
115,1.63167602,0,20,3,1,C_US(k=4-l=6)
116,2.36822844,0,20,3,1,C_US(k=5-l=1)
117,2.74045689,0,20,3,1,C_US(k=5-l=2)
118,1.21455858,0,20,3,1,C_US(k=5-l=3)
119,1.59016961,0,20,3,1,C_US(k=5-l=4)
120,0,0,20,3,0,C_US(k=5-l=5)
121,1.17505989,0,20,3,1,C_US(k=5-l=6)
122,2.83053295,0,20,3,1,C_US(k=6-l=1)
123,3.65646767,0,20,3,1,C_US(k=6-l=2)
124,2.01057772,0,20,3,1,C_US(k=6-l=3)
125,1.69703023,0,20,3,1,C_US(k=6-l=4)
126,1.61314719,0,20,3,1,C_US(k=6-l=5)
127,0,0,20,3,0,C_US(k=6-l=6)
