Country,Sector,Year,Gamma
1,1,2000,0.454534382224813
1,2,2000,0.371910460266288
1,3,2000,0.330106279106622
1,4,2000,0.386712083911269
1,5,2000,0.606568556228804
1,6,2000,0.617739818148587
2,1,2000,0.583916336312786
2,2,2000,0.252720611114331
2,3,2000,0.279531514714644
2,4,2000,0.240208571655714
2,5,2000,0.36532966548382
2,6,2000,0.553370656788957
3,1,2000,0.557076206080281
3,2,2000,0.316667849375581
3,3,2000,0.307928732497316
3,4,2000,0.330184028006082
3,5,2000,0.485023625146172
3,6,2000,0.625397748861306
4,1,2000,0.539285067817014
4,2,2000,0.345171663302432
4,3,2000,0.370343801367947
4,4,2000,0.315761331763389
4,5,2000,0.542403086843069
4,6,2000,0.668883527462155
5,1,2000,0.624216143845888
5,2,2000,0.275721994530146
5,3,2000,0.324918617077638
5,4,2000,0.305170958580985
5,5,2000,0.561994769979006
5,6,2000,0.667365582103829
6,1,2000,0.671130333920604
6,2,2000,0.266034829905906
6,3,2000,0.284821301386659
6,4,2000,0.251453603391488
6,5,2000,0.480577828149981
6,6,2000,0.680393395954697
